Droga: A - 1  dias - DNA
Droga: A - 1  dias - Proteina
Droga: A - 1  dias - RNA
Droga: A - 2  dias - DNA
Droga: A - 2  dias - Proteina
Droga: A - 2  dias - RNA
Droga: A - 3  dias - DNA
Droga: A - 3  dias - Proteina
Droga: A - 3  dias - RNA
Droga: A - 4  dias - DNA
Droga: A - 4  dias - Proteina
Droga: A - 4  dias - RNA
Droga: A - 5  dias - DNA
Droga: A - 5  dias - Proteina
Droga: A - 5  dias - RNA
Droga: B - 1  dias - DNA
Droga: B - 1  dias - Proteina
Droga: B - 1  dias - RNA
Droga: B - 2  dias - DNA
Droga: B - 2  dias - Proteina
Droga: B - 2  dias - RNA
Droga: B - 3  dias - DNA
Droga: B - 3  dias - Proteina
Droga: B - 3  dias - RNA
Droga: B - 4  dias - DNA
Droga: B - 4  dias - Proteina
Droga: B - 4  dias - RNA
Droga: B - 5  dias - DNA
Droga: B - 5  dias - Proteina
Droga: B - 5  dias - RNA
Droga: C - 1  dias - DNA
Droga: C - 1  dias - Proteina
Droga: C - 1  dias - RNA
Droga: C - 2  dias - DNA
Droga: C - 2  dias - Proteina
Droga: C - 2  dias - RNA
Droga: C - 3  dias - DNA
Droga: C - 3  dias - Proteina
Droga: C - 3  dias - RNA
Droga: C - 4  dias - DNA
Droga: C - 4  dias - Proteina
Droga: C - 4  dias - RNA
Droga: C - 5  dias - DNA
Droga: C - 5  dias - Proteina
Droga: C - 5  dias - RNA
Droga: Ctrl - 1  dias - DNA
Droga: Ctrl - 1  dias - Proteina
Droga: Ctrl - 1  dias - RNA
Droga: Ctrl - 2  dias - DNA
Droga: Ctrl - 2  dias - Proteina
Droga: Ctrl - 2  dias - RNA
Droga: Ctrl - 3  dias - DNA
Droga: Ctrl - 3  dias - Proteina
Droga: Ctrl - 3  dias - RNA
Droga: Ctrl - 4  dias - DNA
Droga: Ctrl - 4  dias - Proteina
Droga: Ctrl - 4  dias - RNA
Droga: Ctrl - 5  dias - DNA
Droga: Ctrl - 5  dias - Proteina
Droga: Ctrl - 5  dias - RNA
